anio;mes;semana;cacao_grado 3;cacao_grado_2;cacao_grado_1
2024;ENERO;1;182.99;188.48;192.14
2024;ENERO;2;180.77;186.19;189.81
2024;ENERO;3;185.88;191.45;195.17
2024;ENERO;4;195.55;201.42;205.33
2024;FEBRERO;5;203.50;209.60;213.67
2024;FEBRERO;6;227.83;234.66;239.22
2024;FEBRERO;7;257.98;265.71;270.87
2024;FEBRERO;8;248.11;255.56;260.52
2024;FEBRERO;9;276.96;285.27;290.81
2024;MARZO;10;283.42;291.92;297.59
2024;MARZO;11;297.64;306.57;312.52
2024;MARZO;12;342.50;352.77;359.62
2024;MARZO;13;403.59;415.69;423.77
2024;ABRIL;14;451.11;464.65;496.23
2024;ABRIL;15;446.10;459.48;468.40
2024;ABRIL;16;459.17;472.95;482.13
2024;ABRIL;17;492.36;507.13;516.97
2024;MAYO;18;464.92;478.86;488.16
2024;MAYO;19;371.96;383.11;390.55
2024;MAYO;20;377.23;388.54;396.09
2024;MAYO;21;346.6;357.00;363.93
2024;MAYO;22;378.33;389.68;397.25
2024;JUNIO;23;440.96;454.19;463.01
2024;JUNIO;24;455.50;469.14;478.28
2024;JUNIO;25;439.09;452.26;461.04
2024;JUNIO;26;392.47;404.24;412.09
2024;JULIO;27;339.67;349.86;356.65
2024;JULIO;28;352.07;362.63;369.68
2024;JULIO;29;371.55;382.70;390.13
2024;JULIO;30;362.77;373.66;380.91
2024;AGOSTO;31;366.59;377.59;384.92
2024;AGOSTO;32;392.72;404.50;412.34
2024;AGOSTO;33;340.86;351.08;357.90
2024;AGOSTO;34;362.97;372.93;380.17
2024;SEPTIEMBRE;35;362.07;372.93;380.17
2024;SEPTIEMBRE;36;344.2;354.53;361.41
2024;SEPTIEMBRE;37;325.95;335.72;342.24
2024;SEPTIEMBRE;38;340.33;350.53;357.34
2024;SEPTIEMBRE;39;345.47;355.84;362.75
2024;OCTUBRE;40;359.84;370.63;377.83
2024;OCTUBRE;41;333.33;343.33;350.00
2024;OCTUBRE;42;363.74;374.66;381.93
2024;OCTUBRE;43;359.30;370.08;377.26
2024;OCTUBRE;44;313.06;322.45;328.71
2024;NOVIEMBRE;45;315.55;325.02;331.33
2024;NOVIEMBRE;46;311.42;320.76;326.99
2024;NOVIEMBRE;47;360.55;371.36;378.57
2024;NOVIEMBRE;48;370.69;381.81;389.22
2024;DICIEMBRE;49;385.32;396.88;404.59
2024;DICIEMBRE;50;418.75;431.31;439.68
2024;DICIEMBRE;51;473.63;487.84;497.31
2024;DICIEMBRE;52;501.8;516.85;526.89
