Region;Provincia;contexto; SUPERFICIE (Ha) ;; PRODUCCION (Tm) ; VENTAS (Tm) 
REGIÓN SIERRA;AZUAY;Solo;3.752;2.923;2.951;2.938
REGIÓN SIERRA;BOLÍVAR;Solo;12.42;11.663;8.115;7.853
REGIÓN SIERRA;CAÑAR;Solo;8.154;7.278;2.934;2.893
REGIÓN SIERRA;CARCHI;Solo;24;24;11;10
REGIÓN SIERRA;COTOPAXI;Solo;6.098;5.49;6.392;6.391
REGIÓN SIERRA;CHIMBORAZO;Solo;743;481;452;452
REGIÓN SIERRA;IMBABURA;Solo;744;535;165;165
REGIÓN SIERRA;LOJA;Solo;215;;;
REGIÓN SIERRA;PICHINCHA;Solo;9.128;7.503;5.675;5.675
REGIÓN SIERRA;TUNGURAHUA;Solo;;;;
REGIÓN SIERRA;SANTO DOMINGO DE LOS TSÁCHILAS;Solo;26.595;25.085;15.875;15.875
REGIÓN COSTA;EL ORO;Solo;23.696;21.254;13.805;13.778
REGIÓN COSTA;ESMERALDAS;Solo;98.547;79.699;57.336;57.316
REGIÓN COSTA;GUAYAS;Solo;83.176;80.553;65.875;65.875
REGIÓN COSTA;LOS RÍOS;Solo;112.318;105.891;113.385;113.379
REGIÓN COSTA;MANABÍ;Solo;106.316;95.687;49.749;49.679
REGIÓN COSTA;SANTA ELENA;Solo;587;555;406;406
REGIÓN AMAZÓNICA;MORONA SANTIAGO;Solo;169;80;112;112
REGIÓN AMAZÓNICA;NAPO;Solo;18.214;12.53;5.267;5.205
REGIÓN AMAZÓNICA;ORELLANA;Solo;11.28;7.994;4.949;4.941
REGIÓN AMAZÓNICA;PASTAZA;Solo;44;36;8;5
REGIÓN AMAZÓNICA;SUCUMBÍOS;Solo;27.628;22.428;12.656;12.519
REGIÓN AMAZÓNICA;ZAMORA CHINCHIPE;Solo;674;432;181;175
